mapchecks,steps,reward,belief
0,18,43.02943725152285,0
3,34,25.372583002030474,4.0
3,30,30.615223689149758,4.0
4,27,34.02943725152285,2.0
1,26,33.37258300203047,2.0
1,22,38.61522368914976,2.0
1,24,36.201010126776666,2.0
3,30,30.201010126776662,4.0
1,23,37.61522368914976,2.0
2,29,31.615223689149758,3.5
3,30,30.201010126776666,3.0
1,22,39.02943725152285,2.0
3,30,31.029437251522854,4.0
5,39,19.958369439657382,2.0
1,23,37.61522368914976,2.0
0,20,40.61522368914976,0
6,37,23.61522368914976,3.5
0,19,42.02943725152285,0
3,30,31.029437251522854,2.0
1,22,39.02943725152285,2.0
8,47,13.615223689149762,3.0
2,32,26.958369439657375,2.5
2,28,32.61522368914976,3.0
2,28,33.02943725152285,3.0
4,31,29.615223689149758,3.0
5,42,17.78679656440357,4.0
0,20,40.61522368914976,0
1,25,35.61522368914976,2.0
1,29,30.786796564403566,4.0
1,25,35.201010126776666,4.0
4,36,23.78679656440357,4.0
0,23,37.201010126776666,0
0,21,39.61522368914976,0
0,22,38.61522368914976,0
1,25,35.201010126776666,2.0
2,28,31.786796564403566,3.0
3,34,25.786796564403566,4.0
0,21,40.02943725152285,0
2,28,32.201010126776666,3.0
2,27,33.61522368914976,3.0
1,25,35.201010126776666,4.0
0,21,39.61522368914976,0
5,37,22.372583002030474,2.0
1,23,37.61522368914976,2.0
2,27,33.61522368914976,1.5
2,24,37.02943725152285,3.0
2,30,30.201010126776662,4.0
7,41,17.958369439657382,2.0
1,21,40.02943725152285,2.0
6,37,24.029437251522854,2.5
2,28,31.786796564403566,3.0
2,26,35.02943725152285,3.0
0,21,40.02943725152285,0
1,24,36.61522368914976,2.0
0,22,38.61522368914976,0
0,22,37.786796564403566,0
1,25,35.201010126776666,4.0
3,31,29.615223689149758,2.0
1,25,35.61522368914976,4.0
1,26,35.02943725152285,4.0
1,24,35.786796564403566,2.0
1,25,35.61522368914976,2.0
1,26,35.02943725152285,4.0
1,24,37.02943725152285,4.0
0,23,37.61522368914976,0
1,22,38.61522368914976,2.0
2,23,38.02943725152285,2.0
0,19,42.02943725152285,0
2,26,35.02943725152285,3.0
0,25,34.786796564403566,0
1,29,30.37258300203047,2.0
1,22,39.02943725152285,2.0
4,37,21.958369439657382,2.0
1,27,32.37258300203047,2.0
0,23,36.786796564403566,0
3,30,29.786796564403566,4.0
2,25,35.61522368914976,2.0
1,25,35.61522368914976,4.0
2,27,33.61522368914976,3.5
0,18,43.02943725152285,0
2,26,34.61522368914976,4.0
4,33,27.61522368914976,2.5
1,25,35.201010126776666,4.0
0,21,39.61522368914976,0
1,23,38.02943725152285,2.0
2,29,30.786796564403566,3.0
1,24,36.61522368914976,2.0
1,24,36.61522368914976,2.0
6,35,26.029437251522857,2.5
1,23,37.201010126776666,2.0
1,27,33.201010126776666,4.0
7,45,15.615223689149763,2.0
1,24,36.201010126776666,2.0
5,40,20.201010126776666,4.0
3,29,31.615223689149758,2.0
2,30,29.786796564403566,3.0
0,21,39.201010126776666,0
3,30,31.029437251522854,2.0
0,19,41.61522368914976,0
0,21,40.02943725152285,0
1,28,31.786796564403566,2.0
0,22,38.61522368914976,0
2,29,30.786796564403566,4.0
2,23,38.02943725152285,2.5
3,27,33.201010126776666,3.0
4,38,21.786796564403573,2.0
1,23,37.201010126776666,2.0
0,20,40.201010126776666,0
1,25,36.02943725152285,4.0
0,19,42.02943725152285,0
4,29,31.615223689149758,4.0
1,25,35.61522368914976,4.0
5,39,19.12994231491119,2.0
2,27,32.37258300203047,2.0
1,24,36.201010126776666,2.0
1,22,39.02943725152285,2.0
5,33,28.029437251522854,3.0
2,26,35.02943725152285,3.0
3,34,25.786796564403566,4.0
4,34,26.615223689149758,4.0
0,20,40.61522368914976,0
1,27,33.61522368914976,2.0
1,25,35.201010126776666,2.0
5,34,26.615223689149758,2.0
1,26,33.786796564403566,2.0
1,22,39.02943725152285,2.0
0,19,42.02943725152285,0
5,34,26.201010126776666,3.0
1,22,39.02943725152285,2.0
2,26,34.61522368914976,4.0
7,38,23.029437251522857,2.0
3,32,27.786796564403563,2.0
2,27,33.61522368914976,4.0
6,37,23.201010126776666,3.0
0,21,39.61522368914976,0
1,22,39.02943725152285,2.0
1,25,35.61522368914976,4.0
1,26,34.61522368914976,4.0
1,23,38.02943725152285,4.0
0,21,39.201010126776666,0
0,19,42.02943725152285,0
1,25,35.201010126776666,2.0
1,23,37.61522368914976,2.0
5,35,25.615223689149758,3.0
1,25,35.61522368914976,2.0
1,25,35.201010126776666,2.0
1,22,39.02943725152285,2.0
1,26,34.61522368914976,4.0
3,33,26.372583002030474,4.0
0,23,37.201010126776666,0
0,23,37.201010126776666,0
6,40,19.786796564403573,3.0
1,25,35.61522368914976,2.0
2,28,32.61522368914976,3.0
1,27,33.201010126776666,2.0
1,24,35.786796564403566,2.0
3,31,28.786796564403566,4.0
0,21,39.61522368914976,0
5,36,23.78679656440357,2.0
2,26,35.02943725152285,3.0
